ID,Message,Label
6,"Zakat is one of the five pillars of Islam.",Islamic
7,"The latest technology trends include AI and machine learning.",Non-Islamic
8,"Allah is the one and only God.",Islamic
9,"The weather forecast predicts rain for tomorrow.",Non-Islamic
10,"Fasting during Ramadan is obligatory for Muslims.",Islamic
11,"Scientists have discovered a new exoplanet.",Non-Islamic
12,"The Prophet Muhammad emphasized the importance of honesty and integrity.",Islamic
13,"The company's profits have increased this quarter.",Non-Islamic
14,"The Quran is the holy book of Islam.",Islamic
15,"The restaurant serves a variety of international cuisines.",Non-Islamic
16,"Muslims believe in life after death.",Islamic
17,"The company plans to launch a new product line next year.",Non-Islamic
18,"The mosque is a place of worship for Muslims.",Islamic
19,"The sports team announced a new head coach today.",Non-Islamic
20,"The concept of charity is central to Islamic teachings.",Islamic
21,"The stock market experienced volatility this week.",Non-Islamic
22,"Muslims perform Hajj pilgrimage once in their lifetime if able.",Islamic
23,"The local government announced new infrastructure projects.",Non-Islamic
24,"The Hadith are the sayings and actions of the Prophet Muhammad.",Islamic
25,"The artist's latest painting was sold at auction.",Non-Islamic
26,"Prophet Muhammad's teachings emphasize compassion and mercy.",Islamic
27,"The scientists are studying the effects of climate change.",Non-Islamic
28,"Prayers are offered five times a day in Islam.",Islamic
29,"The book explores different aspects of human psychology.",Non-Islamic
30,"Islamic scholars have contributed significantly to science.",Islamic
31,"The bank announced a new interest rate for savings accounts.",Non-Islamic
32,"The Quran provides guidance on how to lead a good life.",Islamic
33,"The government passed new education reform laws.",Non-Islamic
34,"Islam promotes peace and understanding among people.",Islamic
35,"The new smartphone model features advanced camera technology.",Non-Islamic
36,"The mosque serves as a community center for Muslims.",Islamic
37,"The concert showcased talented musicians from around the world.",Non-Islamic
38,"Reciting the Quran brings peace and tranquility.",Islamic
39,"The company plans to expand its operations internationally.",Non-Islamic
40,"Eid al-Fitr is a significant celebration for Muslims worldwide.",Islamic
41,"The fashion industry is constantly evolving with new trends.",Non-Islamic
42,"Learning and teaching are highly valued in Islam.",Islamic
43,"The local library offers a wide selection of books.",Non-Islamic
44,"The Islamic Golden Age saw advances in medicine and astronomy.",Islamic
45,"The travel industry is recovering after the pandemic.",Non-Islamic
46,"The call to prayer can be heard from the minaret of the mosque.",Islamic
47,"The recent sports event drew in thousands of spectators.",Non-Islamic
48,"Islam emphasizes the importance of family and community.",Islamic
49,"The startup is gaining traction in the tech industry.",Non-Islamic
50,"Fasting during Ramadan is an important practice for Muslims.",Islamic
51,"The economy is projected to grow in the next quarter.",Non-Islamic
52,"Muslims give Zakat to support those in need.",Islamic
53,"The art gallery features contemporary and modern works.",Non-Islamic
54,"Muslim women often wear the hijab as a sign of modesty.",Islamic
55,"The movie was a major success at the box office.",Non-Islamic
56,"Muslims celebrate Eid al-Adha as a major religious festival.",Islamic
57,"The company introduced a new line of electric vehicles.",Non-Islamic
58,"Prophet Muhammad's final sermon emphasized unity and equality.",Islamic
59,"The musician released a new album with a unique sound.",Non-Islamic
60,"The hadiths are a key source of guidance for Muslims.",Islamic
61,"The government launched a new public health campaign.",Non-Islamic
62,"Islam encourages seeking knowledge throughout life.",Islamic
63,"The architecture of the new skyscraper is stunning.",Non-Islamic
64,"Muslims observe Friday as a special day of prayer.",Islamic
65,"The actor's latest performance received critical acclaim.",Non-Islamic
66,"The prayer times change throughout the year based on the sun's position.",Islamic
67,"The national team won the championship game last night.",Non-Islamic
68,"Muslims aim to follow the teachings of the Prophet Muhammad.",Islamic
69,"The chef prepared a delicious three-course meal.",Non-Islamic
70,"Hajj is a journey that all able Muslims must undertake at least once in their lives.",Islamic
71,"The company is investing in renewable energy projects.",Non-Islamic
72,"Muslims wash before prayer to cleanse themselves spiritually.",Islamic
